단어,발음,주요뜻,메모,암기여부,저장날짜
sweet tooth,,단것을 좋아하기|단것을 좋아함|마약 중독,,미암기,2010-11-03 12:53:40
a bull in a china shop,,물불가리지 않는 난폭자|계획을 망가뜨리는 눈치없는 사람,,미암기,2010-10-28 12:44:30
hush money,,입 막음 돈|무마비,,미암기,2010-10-28 12:44:03
black and white,,인쇄|펜화|흑백인,,미암기,2010-10-28 12:43:38
rob the cradle,,자기보다 훨씬 나이 어린 상대를 선택하다,,미암기,2010-10-28 12:42:01
poetic justice,,시적 정의|권선 징악,,미암기,2010-10-28 12:41:27
a horse of another color,,전혀 다른 것|전혀 별개의 사항,,미암기,2010-10-28 12:41:06
pop the question,,결혼을 신청하다|구혼하다|청혼하다,,미암기,2010-10-28 12:40:32
jump the gun,,조급히 굴다|신호보다 앞서 스타트하다|일을 성급하게 시작하다,,미암기,2010-10-28 12:39:45
get cold feet,,긴장하다|겁을 먹다|겁먹다,,미암기,2010-10-28 12:39:16
keep up with the Joneses,,이웃에 지지 않으려고 허세를 부리다|이웃 사람과 경쟁하다,,미암기,2010-10-28 12:38:40
over the hill,óuvərðəhíl,전성기가 지난|늙은|한물간,,미암기,2010-10-28 12:38:03
carte blanche,"kάːrt blǽnʧ, blάːnʧ",백지 위임|백지 위임장|자유 재량권,,미암기,2010-10-28 12:35:11
breeze,briːz,바람|순풍|쉬운 일|경쾌하게 드나들다,,미암기,2010-10-28 12:34:14
a fine day for young ducks,,비오는 날씨,,미암기,2010-10-28 12:25:56
wet blanket,wétblǽŋkit,좌중의 흥을 깨는 사람|…의 흥을 깨다|젖은 담요,,미암기,2010-10-28 12:21:00
confide,kənfáid,비밀을 털어놓다|신뢰하다|신용하다,,미암기,2010-10-28 12:17:29
bad,bæd,나쁜|좋지 않은|잘못된|심한|해로운,"1)go from bad to worse 더욱 더 나빠지다 

",미암기,2010-10-28 12:15:39
pitch in,,거들다|기부하다|협력하다,,미암기,2010-10-28 11:37:24
put together,,한데 모으다|합치다|모으다,"1)Let's put together a picnic. 피크닉을 계획하자. 

",미암기,2010-10-28 11:34:36
kick back,,반격하다|쉬다|휴식을 취하다,"1)Kick back, I’ll get it. 앉아계세요, 제가 나갈께요


",미암기,2010-10-28 11:26:00
hold off,,연기하다|막다|미루다,,미암기,2010-10-28 11:20:43
out and about,,병상에서 일어나 외출할 수 있게 되어|나다니고,,미암기,2010-10-28 11:14:13
benchwarmer,,후보 선수|보결 선수,,미암기,2010-10-27 13:26:04
talker,tɔ́ːkər,말하는 사람|말이 …한 사람|수다쟁이,"1)a good talker 좌담을 잘하는 사람
",미암기,2010-10-27 13:22:41
cry wolf,,「늑대가 왔다」고 외치다,,미암기,2010-10-27 13:21:21
tall story,,허풍|과장된 이야기,,미암기,2010-10-27 13:20:56
by a nose,,간신히|가까스로|작은 차이로,,미암기,2010-10-27 13:20:36
nuts and bolts,,기본|작동부|경영,,미암기,2010-10-27 13:18:05
cloud nine,,하늘로 날아 오를 듯한 기분|들뜬 상태|행복의 절정,,미암기,2010-10-27 13:16:42
on thin ice,,위험한 상태에서,,미암기,2010-10-27 13:14:19
take the bull by the horns,,용감하게 난국에 맞서다|주도권을 쥐다,,미암기,2010-10-27 13:13:15
sitting duck,,쉬운 목표|잘 속는 사람|쉬운 일,,미암기,2010-10-27 13:12:31
fit like a glove,,꼭 맞다,,미암기,2010-10-27 13:09:57
like a bat out of hell,,초스피드로|저돌적으로,,미암기,2010-10-27 13:07:12
out of this world,,월등히 좋은|탁월한|현실과 동떨어진,"1)The food was out of this world.
음식 맛이 기가 막혔다
",미암기,2010-10-27 13:06:22
lay an egg,,큰 손해를 보다|알을 낳다|실패하다,,미암기,2010-10-27 13:02:11
over the hump,,난관을 벗어난|절반이 지난|고비를 넘겨,,미암기,2010-10-27 13:01:42
Dutch courage,,술김에 내는 용기|술,,미암기,2010-10-27 13:01:04
throw the book at,,엄벌에 처하다|…을 엄하게 벌하다,,미암기,2010-10-27 12:58:14
motocross,móutoukrɔ̀(ː)s,모토크로스|모터크로스,,미암기,2010-10-26 23:03:24
pest,pest,해충|유해물|작은 동물,"1)What a pest you are! 정말 끈덕진 아이군!


",미암기,2010-10-26 22:48:52
brat,bræt,작업복|앞치마|새끼,"1)He´s just a spoiled brat! 
그 녀석 정말 버릇없는 꼬마군!

",미암기,2010-10-26 22:40:24
puberty,pjúːbərti,사춘기|성숙기|결혼 적령기,"1)She thinks it's a huge joke that I am going through puberty and holds her nose around me all the time.
그녀는 제가 사춘기를 겪는 게 웃기다고 생각하고 저를 보면 코를 막고 다녀요. 



",미암기,2010-10-26 22:34:52
crack,kræk,균열|크랙|금 가다|시작하다|갈라지다,"1)crack a joke 농담하다 
She cracks rude comments about me. 저에 대해 나쁜 말을 해요. 

",미암기,2010-10-26 22:24:30
dumb,dʌm,멍청한|말이 없는|바보|덤|어리석은,"1)the dumb millions [정치적 발언권이 없는] 무언의 대중, 민중 
the deaf and dumb 농아[聾啞] 

[미·구어] 우둔한, 어리석은[stupid] 
She always tries to make me feel dumb and little. 
그녀는 항상 저를 하찮은 바보처럼 느끼게 만들려고 해요. 



",미암기,2010-10-26 22:04:01
injured party,,피해자,,미암기,2010-10-24 20:54:27
degrading,digréidiŋ,품위를 떨어뜨리는|품격을 낮추는|타락시키는,,미암기,2010-10-24 20:50:05
warp,wɔːrp,휘게 하다|구부리다|왜곡하다,,미암기,2010-10-24 20:21:31
death,deθ,죽음|사망|살인|사형|종말,,미암기,2010-10-24 20:17:01
break the bank,,판돈을 싹 쓸다|엄청난 액수는 아니다,,미암기,2010-10-22 14:39:06
hot seat,,전기 의자|곤경|불안한 입장,,미암기,2010-10-22 14:22:53
tone down,,부드러워지다|약해지다|잠잠해지다,,미암기,2010-10-22 13:52:21
pay through the nose for sth,,터무니없는 값을 지불하다|바가지를 쓰다,,미암기,2010-10-22 13:10:57
cultivate,kΛltəvèit,재배하다|양성하다|발전시키다|개발하다|조성하다,,미암기,2010-10-21 22:34:17
groom,gruːm,신랑|…의 털을 깨끗이 하다|깔끔하게 다듬다,,미암기,2010-10-21 22:24:12
Alcoholics Anonymous,,알코올 중독자 자주 치료 협회|(약어)AA,,미암기,2010-10-21 22:20:16
chuckle,ʧΛkl,낄낄거리며 웃다|만족한 미소를 짓다,,미암기,2010-10-21 22:11:59
belong together,,그룹을 이루다|서로 친밀하다|동반하다,,미암기,2010-10-21 22:07:07
